0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0004,0.0004,0.0004,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0005,0.0006,0.0007,0.0007,0.0006,0.0005,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0005,0.0008,0.0009,0.0009,0.0007,0.0007,0.0006,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0006,0.0009,0.0010,0.0010,0.0008,0.0007,0.0005,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0009,0.0013,0.0016,0.0016,0.0013,0.0009,0.0006,0.0004,0.0003,0.0004,0.0005,0.0005,0.0004,0.0000
0.0000,0.0031,0.0040,0.0041,0.0033,0.0022,0.0014,0.0009,0.0008,0.0008,0.0008,0.0007,0.0005,0.0000
0.0000,0.0000,0.0000,0.0120,0.0095,0.0060,0.0035,0.0022,0.0017,0.0015,0.0012,0.0008,0.0005,0.0000
nan,nan,0.0000,0.0000,0.0249,0.0152,0.0082,0.0046,0.0032,0.0024,0.0017,0.0010,0.0005,0.0000
nan,nan,nan,0.0000,0.0000,0.0000,0.0160,0.0082,0.0050,0.0033,0.0021,0.0012,0.0006,0.0000
nan,nan,nan,nan,nan,0.0000,0.0000,0.0120,0.0068,0.0043,0.0026,0.0015,0.0008,0.0004
nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0049,0.0030,0.0016,0.0008,0.0004
nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0027,0.0013,0.0005,0.0000
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0003,0.0000
